Experience,Qualifications,Work Type,Job Title,Role,skills,Responsibilities
5 to 15 Years,MCA,Full-Time,Project Manager,Construction Project Manager,Construction management Budgeting Contract negotiation Safety regulations,"Oversee construction projects, including budgeting, scheduling, and coordination of subcontractors. Ensure compliance with safety regulations. Communicate project status to stakeholders."
1 to 9 Years,B.Tech,Intern,Java Developer,Java Software Engineer,"Java programming Java frameworks (e.g., Spring) Object-oriented design Code debugging Software development Problem-solving skills","Design, code, test, and maintain Java-based software applications. Collaborate with cross-functional teams on software development projects. Debug and resolve software defects and issues."
3 to 13 Years,BCA,Part-Time,Project Manager,IT Project Manager,Project management Team leadership Risk management Budgeting Communication skills,"Plan and oversee IT projects, manage project teams, and ensure successful project delivery within scope, time, and budget. Define project objectives and requirements. Monitor project progress and risks."
4 to 8 Years,BA,Temporary,Interior Designer,Residential Interior Designer,Residential interior design Space planning Color theory and selection Furniture and materials selection 3D modeling and rendering,"Plan and design interiors for residential spaces, considering aesthetics and functionality. Select furniture, materials, and color schemes. Create design concepts and layout plans."
5 to 14 Years,M.Tech,Temporary,Executive Assistant,Office Manager,Office administration and management Budgeting and expense tracking Team coordination and supervision Facility management Vendor and supplier relations,"Oversee office operations, including facilities management and vendor relations. Manage office budgets and expenses. Coordinate office events and logistics."
2 to 12 Years,M.Com,Full-Time,Social Media Manager,Social Media Analyst,"Social media analytics tools (e.g., Google Analytics, Facebook Insights) Data analysis and reporting Social media ROI measurement Competitive analysis Trend identification",Analyze social media data and user behavior to generate actionable insights. Track key performance indicators (KPIs) and recommend optimization strategies. Stay updated on social media trends and algorithm changes.
1 to 11 Years,MBA,Intern,HR Manager,Human Resources Director,Strategic HR planning Employee relations Talent management HR policy development Leadership skills,"Oversee all HR functions, including recruitment, benefits administration, employee relations, and policy development. Align HR strategies with business goals. Provide leadership to the HR team."
3 to 9 Years,M.Com,Contract,Executive Assistant,Personal Assistant,Organizational and time management skills Calendar and appointment management Communication and correspondence Travel coordination Discretion and confidentiality,"Provide high-level administrative support to executives, including calendar management and travel arrangements. Prepare reports, presentations, and correspondence. Act as a gatekeeper and handle confidential information."
2 to 12 Years,MCA,Part-Time,Human Resources Manager,Talent Acquisition Manager,Talent sourcing Interviewing Onboarding Recruitment strategies HR software,"Lead talent acquisition efforts, including sourcing, interviewing, and onboarding new employees. Collaborate with hiring managers to define job requirements. Develop and implement recruitment strategies."
0 to 9 Years,B.Tech,Part-Time,Pharmaceutical Sales Representative,Sales Representative,Sales techniques and strategies Relationship building CRM software usage Product knowledge Negotiation and closing skills,"Promote and sell pharmaceutical products to healthcare professionals, such as doctors and pharmacists. Build and maintain customer relationships. Provide product information and education."
4 to 12 Years,BBA,Temporary,Software Tester,Quality Assurance Analyst,"Quality assurance processes Testing methodologies (e.g., manual, automated) Bug tracking and reporting Test case development Regression testing","Test software applications and systems to identify defects and ensure quality. Create test plans, test cases, and test scripts. Collaborate with development teams to resolve issues."
0 to 15 Years,B.Tech,Full-Time,Litigation Attorney,Corporate Litigator,Corporate law Commercial litigation Dispute resolution Contract law Legal strategy Negotiation,"Focus on corporate legal matters, including contracts, disputes, and compliance. Provide legal counsel to businesses and organizations. Handle litigation involving corporate interests."
5 to 10 Years,MBA,Intern,Architectural Designer,Interior Designer,"Interior design Space planning Color theory Material selection CAD software (e.g., SketchUp) Client collaboration Budget management","Focus on interior spaces, selecting finishes, furnishings, and color schemes. Create interior design concepts and mood boards. Collaborate with architects and contractors on design integration."
5 to 14 Years,BA,Contract,Veterinarian,Exotic Animal Veterinarian,Exotic animal medicine Exotic animal diagnostics Specialized surgical skills Avian medicine Reptile care Amphibian care Exotic animal anesthesia Compassion and empathy Client communication Problem-solving Attention to detail,"Focus on the health and medical needs of exotic and non-traditional pets, including reptiles, birds, and exotic mammals. Provide specialized care and treatment for unique species. Educate exotic pet owners on proper care."
3 to 15 Years,M.Com,Temporary,Marketing Manager,Brand Manager,Brand strategy development Brand identity and design Brand storytelling Marketing campaigns Brand performance measurement Creative thinking Strong communication skills,"Manage the overall brand identity, create marketing campaigns, and ensure brand consistency across all materials and touchpoints. Monitor brand performance and reputation. Collaborate with creative teams on branding materials."
1 to 12 Years,BBA,Full-Time,Procurement Specialist,Sourcing Analyst,Sourcing strategies Supplier evaluation Market research Cost analysis Contract negotiation,Identify and evaluate potential suppliers and sourcing opportunities. Analyze market trends and supplier performance. Negotiate contracts and terms with suppliers.
5 to 9 Years,BA,Intern,UX/UI Designer,Interaction Designer,Interaction design principles User behavior and psychology Wireframing and prototyping tools Animation and micro-interaction design Collaborative design processes,"Work on interaction design, defining how users interact with digital products and ensuring a seamless user journey. Create wireframes and prototypes to illustrate interactions. Collaborate with developers to implement interaction designs."
4 to 15 Years,BA,Part-Time,Network Administrator,Systems Administrator,"System administration Server maintenance Active Directory Backup and recovery Cloud computing (e.g., AWS, Azure) Troubleshooting IT security best practices Collaboration Problem-solving Attention to detail Communication skills Technical knowledge","Administer servers and systems, ensuring uptime and reliability. Perform software installations and updates. Provide technical support to end-users."
0 to 14 Years,MBA,Temporary,Customer Support Specialist,Customer Success Manager,Customer relationship management Onboarding and training Customer feedback analysis Retention strategies Cross-selling and upselling Strong communication and empathy Customer advocacy,"Build and maintain strong customer relationships, ensuring customer satisfaction and retention. Identify opportunities to upsell or cross-sell products or services. Gather and relay customer feedback to improve products."
1 to 11 Years,B.Com,Temporary,Investment Banker,Investment Portfolio Manager,Investment analysis Portfolio management Risk assessment,Manage investment portfolios on behalf of clients or organizations. Monitor portfolio performance and adjust investment strategies. Provide regular reports and updates to clients.
1 to 15 Years,BCA,Full-Time,Network Administrator,Systems Administrator,"System administration Server maintenance Active Directory Backup and recovery Cloud computing (e.g., AWS, Azure) Troubleshooting IT security best practices Collaboration Problem-solving Attention to detail Communication skills Technical knowledge","Administer servers and systems, ensuring uptime and reliability. Perform software installations and updates. Provide technical support to end-users."
1 to 9 Years,M.Com,Full-Time,Human Resources Manager,Employee Relations Specialist,Employee conflict resolution HR compliance Employee engagement Communication skills,"Address employee concerns, resolve conflicts, and implement HR policies and programs to foster a positive work environment. Conduct investigations and recommend corrective actions. Promote employee engagement and satisfaction."
0 to 8 Years,M.Tech,Intern,Art Teacher,Fine Arts Instructor,Artistic skills Teaching ability Communication skills Art history knowledge Creativity,"Teach fine arts, including drawing, painting, and sculpture, to students of all ages. Develop and execute art lesson plans. Foster creativity and artistic expression."
3 to 14 Years,BCA,Temporary,Public Relations Specialist,Brand PR Specialist,Brand management Public relations Brand storytelling Influencer marketing Media monitoring,Promote and protect the brands image and reputation. Develop PR campaigns and brand messaging. Monitor and analyze PR campaign performance.
4 to 11 Years,BBA,Temporary,Financial Controller,Finance Manager,"Financial management Budgeting Financial analysis Financial reporting Risk management Financial software (e.g., Excel, QuickBooks) Strategic planning","Oversee financial operations, including budgeting, financial reporting, and cash flow management. Ensure compliance with accounting standards and regulations. Supervise finance staff."
1 to 10 Years,MBA,Contract,Research Analyst,Social Science Researcher,"Social science research methods Qualitative and quantitative data analysis Survey design and implementation Ethnographic research Interviewing skills Research ethics Statistical software (e.g., Stata, NVivo) Report writing Communication skills Critical thinking Empathy","Conduct research in social sciences, gathering and analyzing data on social phenomena, human behavior, and public policy. Publish research findings in academic journals. Contribute to social science research projects."
0 to 14 Years,BA,Part-Time,Network Engineer,Network Administrator,"Network management Troubleshooting Network security IT certifications (e.g., CCNA)","Manage and maintain computer networks, troubleshoot network issues, and ensure network availability and performance. Implement network security measures and policies. Monitor network traffic and optimize performance."
1 to 11 Years,PhD,Contract,Environmental Consultant,Environmental Impact Analyst,Environmental impact analysis Data collection and analysis Environmental regulations Reporting GIS (Geographic Information Systems) Technical writing,Assess the environmental impact of projects and developments. Conduct environmental impact assessments (EIAs) and provide mitigation recommendations. Collaborate with project teams and regulators.
0 to 11 Years,B.Tech,Full-Time,Investment Advisor,Wealth Advisor,Financial planning Investment knowledge Relationship management Communication skills Analytical skills,Provide financial advice and investment strategies to clients. Assess clients financial goals and risk tolerance. Create personalized investment portfolios.
0 to 11 Years,B.Com,Full-Time,Financial Analyst,Financial Planner,Financial planning Investment strategy Retirement planning Tax knowledge,"Assist clients with financial planning, investment strategies, and retirement planning. Conduct comprehensive financial assessments. Provide personalized financial advice and recommendations."
2 to 14 Years,MBA,Intern,Aerospace Engineer,Systems Engineer,Systems engineering System architecture Integration testing Troubleshooting Technical documentation Configuration management,Work on aerospace systems integration and optimization. Address system safety and reliability. Collaborate with multidisciplinary teams.
0 to 14 Years,MCA,Intern,Procurement Specialist,Procurement Coordinator,Procurement processes Purchase order management Vendor communication Data analysis Inventory control,"Support procurement activities, such as purchase order processing, vendor communications, and documentation. Maintain procurement records and reports. Assist in supplier audits and assessments."
2 to 13 Years,BA,Contract,Speech Therapist,Speech Pathologist,Speech pathology Articulation therapy Language disorders Speech assessment Therapy planning Communication skills,Diagnose and treat a wide range of speech and language disorders across age groups. Use assessment tools and therapeutic techniques. Help individuals improve their communication abilities.
0 to 11 Years,MCA,Contract,Digital Marketing Specialist,Social Media Manager,"Social media platforms (e.g., Facebook, Twitter, Instagram) Content creation and scheduling Social media analytics and insights Community engagement Paid social advertising","Manage and grow social media accounts, create engaging content, and interact with the online community. Develop social media content calendars and strategies. Monitor social media trends and engagement metrics."
1 to 14 Years,PhD,Intern,Market Research Analyst,Market Researcher,Market research methodologies Data collection and analysis Industry knowledge,"Research market trends, competitors, and consumer behavior. Identify opportunities for product or service improvement. Analyze and interpret qualitative and quantitative data."
2 to 9 Years,M.Tech,Part-Time,Operations Manager,Supply Chain Manager,Supply chain logistics and management Inventory control and procurement Supplier relationship management Data analysis and forecasting Risk assessment and mitigation,"Manage the supply chain process, including procurement, inventory management, and logistics. Optimize supply chain operations for cost-effectiveness and timely delivery. Monitor supplier performance and relationships."
5 to 13 Years,B.Com,Contract,Marketing Analyst,Data Analyst,"Data analysis tools (e.g., SQL, Python) Data visualization tools (e.g., Tableau, Power BI) Statistical analysis Data cleansing and transformation Data modeling Communication of data insights Problem-solving Attention to detail Business acumen",Analyze marketing data to measure campaign performance and ROI. Provide insights for marketing strategy adjustments. Create data visualizations and dashboards.
5 to 12 Years,M.Com,Intern,Financial Controller,Finance Manager,"Financial management Budgeting Financial analysis Financial reporting Risk management Financial software (e.g., Excel, QuickBooks) Strategic planning","Oversee financial operations, including budgeting, financial reporting, and cash flow management. Ensure compliance with accounting standards and regulations. Supervise finance staff."
2 to 15 Years,MBA,Intern,Sales Consultant,B2B Sales Consultant,B2B sales Business-to-business sales strategies Lead generation Sales negotiations Client relationship building Market research,"Specialize in business-to-business (B2B) sales, targeting corporate clients. Build and maintain long-term relationships with key clients. Negotiate and close complex sales deals."
1 to 11 Years,BA,Temporary,Digital Marketing Specialist,Social Media Manager,"Social media platforms (e.g., Facebook, Twitter, Instagram) Content creation and scheduling Social media analytics and insights Community engagement Paid social advertising","Manage and grow social media accounts, create engaging content, and interact with the online community. Develop social media content calendars and strategies. Monitor social media trends and engagement metrics."
2 to 10 Years,BCA,Contract,Procurement Manager,Strategic Sourcing Manager,Strategic sourcing strategies Supplier evaluation and selection Negotiation skills Vendor management Cost analysis Supply chain management Contract management Problem-solving Attention to detail Communication skills Strategic thinking,Develop sourcing strategies and manage supplier relationships. Negotiate contracts and terms. Optimize procurement processes and costs.
0 to 14 Years,B.Com,Contract,Registered Nurse,Staff Nurse,Nursing care Patient assessment Medical knowledge,"Provide direct patient care, including assessments, medication administration, and wound care. Monitor patient conditions and vital signs. Collaborate with healthcare teams to develop care plans."
4 to 14 Years,BCA,Part-Time,Electrical Designer,Electrical Engineer,Electrical engineering Circuit design Electronics AutoCAD proficiency Problem-solving,Design electrical systems and components for buildings and infrastructure projects. Ensure compliance with electrical codes and safety standards. Collaborate with architects and contractors.
5 to 8 Years,M.Tech,Part-Time,Paralegal,Real Estate Paralegal,Real estate transactions Title searches Closing processes Deed preparation Contract review Communication with real estate professionals Attention to detail Real estate terminology Technology proficiency Legal software proficiency Legal research skills,"Specialize in real estate transactions, including title searches, closings, and document preparation. Research property records and zoning regulations. Coordinate real estate transactions."
4 to 14 Years,BCA,Part-Time,Art Teacher,Fine Arts Instructor,Artistic skills Teaching ability Communication skills Art history knowledge Creativity,"Teach fine arts, including drawing, painting, and sculpture, to students of all ages. Develop and execute art lesson plans. Foster creativity and artistic expression."
2 to 9 Years,M.Tech,Part-Time,Software Tester,Quality Assurance Analyst,"Quality assurance processes Testing methodologies (e.g., manual, automated) Bug tracking and reporting Test case development Regression testing","Test software applications and systems to identify defects and ensure quality. Create test plans, test cases, and test scripts. Collaborate with development teams to resolve issues."
4 to 11 Years,M.Com,Temporary,Purchasing Agent,Inventory Manager,Inventory control Demand forecasting Supply chain management Data analysis Warehouse management,"Manage inventory levels, track stock, and optimize inventory processes. Ensure stock availability and minimize carrying costs. Conduct inventory audits and reconcile discrepancies."
3 to 8 Years,M.Tech,Temporary,Event Coordinator,Event Planner,Event planning and coordination Budget management Vendor negotiation Venue selection and management Timeline and logistics planning Marketing and promotion Risk management Client communication Creativity Problem-solving Attention to detail,"Plan and organize events, such as weddings, conferences, and parties. Coordinate logistics, vendors, and budgets. Ensure events run smoothly and meet client expectations."
4 to 15 Years,B.Tech,Intern,Landscape Architect,Urban Planner,Urban design and planning Zoning regulations GIS and mapping tools,"Plan and design urban spaces, parks, and recreational areas. Consider sustainability and community needs in design. Collaborate with city planners and architects."
2 to 12 Years,B.Tech,Full-Time,Mechanical Engineer,Mechanical Design Engineer,"Mechanical engineering CAD software (e.g., SolidWorks, AutoCAD) Finite element analysis Product development Prototyping","Design mechanical systems, components, and products. Create 3D models and detailed engineering drawings. Perform structural and thermal analyses."
5 to 14 Years,M.Com,Intern,Landscape Designer,Commercial Landscape Architect,Landscape architecture Site planning Plant selection Environmental sustainability AutoCAD Project management,"Plan and design outdoor spaces for commercial and public projects, such as parks, resorts, and urban developments. Manage project budgets and timelines. Collaborate with architects and contractors."
2 to 12 Years,MCA,Part-Time,UI Developer,Front-End Developer,"Front-end web development HTML, CSS, JavaScript Responsive design Web performance optimization Cross-browser compatibility","Develop and maintain user interfaces for websites and web applications. Write clean and efficient HTML, CSS, and JavaScript code. Collaborate with UX designers to ensure a seamless user experience."
2 to 10 Years,PhD,Temporary,Database Administrator,Database Developer,"Database design and development SQL and database querying Data modeling Programming languages (e.g., Java, Python) Data security and privacy regulations knowledge","Design and implement database systems, tables, and structures. Develop and optimize SQL queries and scripts. Ensure data security, integrity, and backup procedures."
4 to 15 Years,MCA,Temporary,Digital Marketing Specialist,SEO Specialist,"Search engine algorithms and ranking factors Keyword research and analysis On-page and off-page SEO optimization SEO tools (e.g., Google Analytics, SEMrush) SEO content strategy","Optimize websites for search engines (SEO), conduct keyword research, and improve online visibility and search rankings. Monitor and analyze SEO performance metrics. Implement SEO best practices and strategies."
1 to 8 Years,PhD,Intern,Urban Planner,City Planner,Urban planning Zoning regulations Environmental planning GIS proficiency Community engagement,"Plan and develop land use strategies for urban areas. Collaborate with government agencies and stakeholders. Address zoning, infrastructure, and transportation needs."
2 to 9 Years,M.Tech,Part-Time,Web Designer,Frontend Web Designer,Frontend web development HTML/CSS Responsive design User interface (UI) design Adobe Creative Suite Collaboration skills,"Create visually appealing and responsive web designs using HTML, CSS, and JavaScript. Ensure cross-browser compatibility. Optimize web performance and page load times."
3 to 9 Years,B.Com,Part-Time,Customer Support Specialist,Customer Success Manager,Customer relationship management Onboarding and training Customer feedback analysis Retention strategies Cross-selling and upselling Strong communication and empathy Customer advocacy,"Build and maintain strong customer relationships, ensuring customer satisfaction and retention. Identify opportunities to upsell or cross-sell products or services. Gather and relay customer feedback to improve products."
0 to 13 Years,M.Com,Temporary,Occupational Therapist,Pediatric Occupational Therapist,Pediatric assessment and evaluation Occupational therapy techniques for children Developmental milestones Sensory integration therapy Pediatric psychology Family-centered care Individualized treatment plans Communication skills Pediatric healthcare knowledge,Provide occupational therapy services to children with developmental or sensory challenges. Develop individualized therapy plans. Collaborate with parents and caregivers.
0 to 14 Years,B.Tech,Full-Time,Legal Counsel,Corporate Attorney,Corporate law and regulations Contract drafting and negotiation Legal research and analysis Risk management Excellent communication and negotiation skills,"Provide legal advice and guidance on corporate matters, contracts, and regulatory compliance. Draft and review legal documents and agreements. Represent the company in legal proceedings."
4 to 10 Years,B.Tech,Part-Time,Investment Analyst,Risk Analyst,Risk assessment Data analysis Financial modeling Risk management tools Regulatory compliance knowledge,"Evaluate investment risks, including market, credit, and operational risks. Develop risk models and stress tests. Implement risk management strategies and controls."
1 to 15 Years,B.Tech,Intern,Art Director,Visual Designer,Graphic design Typography User interface (UI) design Adobe Creative Suite proficiency Branding and visual identity creation,"Create visual concepts and designs for various media, such as print, digital, and advertising campaigns. Use graphic design software and tools to produce high-quality visuals. Collaborate with art and design teams to execute projects."
0 to 15 Years,BA,Part-Time,Architect,Sustainable Design Specialist,Sustainable design principles Energy efficiency LEED certification Green building materials Environmental impact assessment,Focus on sustainable and eco-friendly architectural practices. Integrate green building technologies and materials into architectural designs. Advise on energy-efficient building solutions.
5 to 9 Years,M.Tech,Contract,Public Relations Specialist,Crisis Communication Manager,Crisis communication planning Crisis response Media relations Reputation management Stakeholder communication,Develop crisis communication plans and strategies for handling PR crises. Respond to crises and manage public perception and reputation. Provide media training for spokespersons.
4 to 12 Years,M.Tech,Temporary,HR Manager,HR Compliance Specialist,Employment law knowledge Compliance management Auditing skills Employee relations Communication skills,Ensure HR policies and practices comply with legal and regulatory requirements. Conduct audits and investigations. Provide guidance on compliance issues.
0 to 11 Years,M.Com,Intern,Registered Nurse,Staff Nurse,Nursing care Patient assessment Medical knowledge,"Provide direct patient care, including assessments, medication administration, and wound care. Monitor patient conditions and vital signs. Collaborate with healthcare teams to develop care plans."
2 to 9 Years,PhD,Temporary,Social Worker,Child Welfare Worker,Child welfare policies and regulations Child protective services Child development Crisis intervention Case management Cultural competence Interviewing and assessment skills Court procedures Documentation Empathy Communication skills,Provide support and counseling to children and families in need. Assess child safety and risk factors. Develop and implement care plans and interventions.
0 to 15 Years,B.Tech,Full-Time,Customer Success Manager,Account Manager,Account management Customer relationship management Sales and negotiation Business development Client needs analysis,"Build and nurture relationships with key clients, understanding their business goals. Identify opportunities for upselling or cross-selling products or services. Ensure client satisfaction and retention."
2 to 14 Years,BCA,Intern,Account Executive,Advertising Account Executive,Advertising and marketing knowledge Client relationship management Advertising campaign development Budget management Media planning and buying,"Manage advertising campaigns for clients, from planning to execution. Develop advertising strategies and creative concepts. Monitor campaign performance and provide insights."
2 to 14 Years,BCA,Full-Time,Customer Support Specialist,Customer Success Manager,Customer relationship management Onboarding and training Customer feedback analysis Retention strategies Cross-selling and upselling Strong communication and empathy Customer advocacy,"Build and maintain strong customer relationships, ensuring customer satisfaction and retention. Identify opportunities to upsell or cross-sell products or services. Gather and relay customer feedback to improve products."
2 to 15 Years,PhD,Temporary,Legal Advisor,In-House Counsel,In-house counsel Legal advisory Employment law Intellectual property Regulatory compliance Dispute resolution Contract review Client counseling,"Serve as in-house legal counsel for organizations, managing legal issues and contracts internally. Provide legal training to staff and address legal questions and concerns."
4 to 13 Years,M.Tech,Part-Time,Litigation Attorney,Corporate Litigator,Corporate law Commercial litigation Dispute resolution Contract law Legal strategy Negotiation,"Focus on corporate legal matters, including contracts, disputes, and compliance. Provide legal counsel to businesses and organizations. Handle litigation involving corporate interests."
4 to 13 Years,BBA,Full-Time,Civil Engineer,Water Resources Engineer,Water resources engineering Hydrology and hydraulics Environmental impact assessment Water resource modeling software Watershed management,"Focus on water-related projects, such as flood control, water supply, and wastewater treatment. Design and manage water resource systems and infrastructure. Address water quality and conservation issues."
5 to 14 Years,PhD,Contract,Marketing Coordinator,Marketing Specialist,Market research and analysis Content creation and copywriting Social media management SEO and digital marketing Marketing automation tools proficiency,Assist in the development and execution of marketing campaigns and strategies. Create marketing collateral and content. Monitor and report on marketing performance metrics.
5 to 8 Years,BA,Part-Time,Dental Hygienist,Dental Hygiene Educator,Dental hygiene knowledge Teaching and instructional skills Curriculum development Student assessment Clinical practice experience,Educate patients on oral hygiene practices and preventive care. Provide oral health instruction and advice. Develop and deliver educational programs.
3 to 15 Years,PhD,Full-Time,Office Manager,Administrative Manager,Administrative leadership Office management Staff supervision Budgeting and financial management Process improvement Communication skills,Oversee office operations and administrative staff. Develop office policies and procedures. Manage budgets and resources.
2 to 8 Years,B.Com,Part-Time,SEM Specialist,SEM Analyst,Search engine marketing (SEM) Google Ads Bing Ads Keyword analysis Ad performance analysis SEM strategy development Bid management,Analyze SEM data and trends to optimize campaigns and ad spend. Generate reports and insights to improve SEM strategies. Stay up-to-date with SEM industry changes and best practices.
4 to 15 Years,PhD,Full-Time,SEO Specialist,Technical SEO Specialist,Technical SEO audits Website crawl analysis Schema markup XML sitemaps Canonicalization,"Identify and resolve technical SEO issues, such as crawl errors, website speed, and mobile-friendliness. Implement schema markup and structured data. Ensure website indexing and sitemap accuracy."
1 to 11 Years,B.Tech,Intern,UI Developer,Front-End Developer,"Front-end web development HTML, CSS, JavaScript Responsive design Web performance optimization Cross-browser compatibility","Develop and maintain user interfaces for websites and web applications. Write clean and efficient HTML, CSS, and JavaScript code. Collaborate with UX designers to ensure a seamless user experience."
5 to 13 Years,M.Tech,Contract,Event Coordinator,Corporate Event Coordinator,Corporate event planning Corporate branding and messaging Speaker and entertainment booking Audiovisual production Team coordination Crisis management Budgeting and financial management Client communication Creativity Problem-solving Attention to detail,"Specialize in planning and managing corporate events, including meetings, seminars, and trade shows. Handle event marketing and branding. Oversee event registration and attendee experience."
5 to 8 Years,M.Tech,Contract,Front-End Engineer,UI/UX Front-End Developer,UI/UX design Frontend web development Wireframing and prototyping User research Accessibility standards Responsive design Collaboration skills,"Focus on user interface (UI) and user experience (UX) design, translating design mockups into functional web interfaces. Conduct usability testing and iterate on designs."
0 to 12 Years,B.Com,Part-Time,Customer Success Manager,Account Manager,Account management Customer relationship management Sales and negotiation Business development Client needs analysis,"Build and nurture relationships with key clients, understanding their business goals. Identify opportunities for upselling or cross-selling products or services. Ensure client satisfaction and retention."
0 to 8 Years,M.Tech,Contract,Software Engineer,Backend Developer,"Proficiency in one or more backend programming languages (e.g., Java, Python, Node.js, Ruby) API development Database management (SQL or NoSQL) Server management and deployment Security best practices Knowledge of web frameworks (e.g., Express, Django)","Develop server-side logic and databases using programming languages like Java, Python, or Node.js. Ensure data security and integrity. Implement APIs for seamless communication between frontend and backend."
4 to 9 Years,MBA,Temporary,Pediatrician,Pediatric Surgeon,Pediatric surgery Surgical procedures for children Operating room protocols Patient care Surgical techniques Pediatric anesthesia,"Perform surgical procedures on pediatric patients, including congenital abnormalities and injuries. Coordinate pre-operative and post-operative care. Ensure the well-being and recovery of young patients."
0 to 10 Years,B.Tech,Part-Time,Event Planner,Event Coordinator,Event planning Vendor coordination Budget management Marketing and promotion Logistics,"Plan and coordinate events, including logistics, vendor management, and timelines. Communicate with clients to understand event goals and preferences. Ensure smooth event execution."
0 to 8 Years,BA,Contract,Software Tester,Quality Assurance Analyst,"Quality assurance processes Testing methodologies (e.g., manual, automated) Bug tracking and reporting Test case development Regression testing","Test software applications and systems to identify defects and ensure quality. Create test plans, test cases, and test scripts. Collaborate with development teams to resolve issues."
3 to 8 Years,MBA,Intern,Procurement Manager,Strategic Sourcing Manager,Strategic sourcing strategies Supplier evaluation and selection Negotiation skills Vendor management Cost analysis Supply chain management Contract management Problem-solving Attention to detail Communication skills Strategic thinking,Develop sourcing strategies and manage supplier relationships. Negotiate contracts and terms. Optimize procurement processes and costs.
4 to 9 Years,BBA,Contract,Wedding Planner,Wedding Designer,Wedding design concepts Decor selection and arrangement Creative flair,"Focus on the visual and aesthetic aspects of weddings, including decor, floral arrangements, and styling. Create design concepts and layouts. Oversee setup and decoration on the wedding day."
3 to 9 Years,B.Tech,Full-Time,Executive Assistant,Project Coordinator,Project management Communication Time management Organization Problem-solving,"Assist in project management activities, such as project planning, scheduling, and documentation. Coordinate project meetings and communicate project updates to stakeholders. Ensure project milestones are met."
1 to 8 Years,MBA,Intern,Systems Analyst,IT Analyst,IT systems analysis Troubleshooting IT support and documentation,"Analyze business systems, processes, and requirements to identify IT solutions. Develop system specifications and requirements documents. Collaborate with IT teams to implement solutions."
1 to 15 Years,MBA,Intern,Brand Manager,Brand Strategist,Brand strategy development Market research and analysis Competitive analysis Brand positioning and messaging Creative direction and collaboration,"Develop brand strategies, positioning, and messaging to drive brand awareness and loyalty. Conduct market research and competitor analysis. Collaborate with creative teams on branding materials."
0 to 13 Years,BCA,Temporary,Research Analyst,Social Science Researcher,"Social science research methods Qualitative and quantitative data analysis Survey design and implementation Ethnographic research Interviewing skills Research ethics Statistical software (e.g., Stata, NVivo) Report writing Communication skills Critical thinking Empathy","Conduct research in social sciences, gathering and analyzing data on social phenomena, human behavior, and public policy. Publish research findings in academic journals. Contribute to social science research projects."
5 to 12 Years,M.Com,Temporary,QA Engineer,QA Manager,Quality assurance Process improvement Team leadership Problem-solving Quality control,"Lead and manage the QA team, including test planning, resource allocation, and test strategy development. Define quality standards and metrics. Oversee QA processes and continuous improvement efforts."
0 to 12 Years,BCA,Part-Time,HR Coordinator,Benefits Coordinator,Employee benefits administration Benefits compliance HRIS Benefits communication,"Administer employee benefits programs, respond to benefits inquiries, and process benefit changes. Collaborate with benefits providers and brokers. Educate employees on available benefits."
3 to 13 Years,MCA,Full-Time,Legal Counsel,Corporate Attorney,Corporate law and regulations Contract drafting and negotiation Legal research and analysis Risk management Excellent communication and negotiation skills,"Provide legal advice and guidance on corporate matters, contracts, and regulatory compliance. Draft and review legal documents and agreements. Represent the company in legal proceedings."
5 to 14 Years,M.Tech,Part-Time,Investment Banker,Mergers and Acquisitions Advisor,Mergers and acquisitions (M&A) expertise Due diligence Valuation techniques,"Advise on mergers, acquisitions, and corporate finance transactions. Perform due diligence and financial analysis. Negotiate and structure deals."
1 to 8 Years,PhD,Intern,Urban Planner,City Planner,Urban planning Zoning regulations Environmental planning GIS proficiency Community engagement,"Plan and develop land use strategies for urban areas. Collaborate with government agencies and stakeholders. Address zoning, infrastructure, and transportation needs."
2 to 8 Years,MCA,Intern,Network Engineer,Network Security Engineer,Network security protocols and technologies Firewalls and intrusion detection systems Vulnerability assessment and penetration testing Security policy development and enforcement Incident response and recovery,"Focus on network security, implement security measures, and protect against cyber threats. Conduct security audits and vulnerability assessments. Respond to security incidents and breaches."
1 to 13 Years,M.Com,Contract,Financial Controller,Finance Manager,"Financial management Budgeting Financial analysis Financial reporting Risk management Financial software (e.g., Excel, QuickBooks) Strategic planning","Oversee financial operations, including budgeting, financial reporting, and cash flow management. Ensure compliance with accounting standards and regulations. Supervise finance staff."
5 to 9 Years,PhD,Part-Time,Architectural Designer,Interior Designer,"Interior design Space planning Color theory Material selection CAD software (e.g., SketchUp) Client collaboration Budget management","Focus on interior spaces, selecting finishes, furnishings, and color schemes. Create interior design concepts and mood boards. Collaborate with architects and contractors on design integration."
5 to 9 Years,BA,Full-Time,Process Engineer,Industrial Engineer,Industrial engineering Process optimization Lean manufacturing Quality control Data analysis Workflow design,"Focus on industrial processes and systems. Streamline operations, reduce waste, and improve productivity. Implement lean and Six Sigma methodologies."
5 to 14 Years,M.Tech,Intern,IT Manager,Infrastructure Manager,"Network administration System administration Virtualization technologies (e.g., VMware, Hyper-V) Storage management IT security Disaster recovery planning Capacity planning Monitoring and troubleshooting Cloud infrastructure (e.g., AWS, Azure) Vendor management","Manage IT infrastructure, including servers, networks, and data centers. Ensure high availability, security, and scalability of IT systems. Plan and implement technology upgrades."
